Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,notice_key,detail_url,notice_type_code,notice_type,retrieved,station_2_related
Capacity Constraint,08/07/2026 09:15:00 AM,08/07/2026 09:15:00 AM,11/05/2026 09:15:00 AM,181432,"Huntingdon/Station 2 South Capacity for August 8 - 10, 2026 REVISED",,181432,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181432&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/07/2026 07:58:21 AM,08/07/2026 07:58:21 AM,11/05/2026 07:58:21 AM,181417,"Sunset Creek Interconnect Capacity for August 10-12, 2026",,181417,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181417&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/07/2026 07:50:10 AM,08/07/2026 07:50:10 AM,11/05/2026 07:50:10 AM,181416,"Fort St John Mainline to Station 2 (Station #1 Westbound) Capacity for August 10 - 12, 2026",,181416,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181416&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/07/2026 07:46:58 AM,08/07/2026 07:46:58 AM,11/05/2026 07:46:58 AM,181415,"Huntingdon/Station 2 South Capacity for August 8 - 10, 2026",,181415,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181415&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/06/2026 07:40:45 AM,08/06/2026 07:40:45 AM,11/04/2026 07:40:45 AM,181365,"Huntingdon/Station 2 South Capacity for August 7, 2026",,181365,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181365&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/05/2026 07:47:00 AM,08/05/2026 07:47:00 AM,11/03/2026 07:47:00 AM,181277,"Huntingdon/Station 2 South Capacity for August 6, 2026",,181277,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181277&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/05/2026 07:47:00 AM,08/05/2026 07:47:00 AM,11/03/2026 07:47:00 AM,181278,"Fort St John Mainline to Station 2 (Station #1 Westbound) Capacity for August 6, 2026",,181278,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181278&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/04/2026 01:55:30 PM,08/04/2026 01:55:30 PM,11/02/2026 12:19:30 PM,181244,"26"" Alberta West/FSJML to Station 2 September Outage Update",,181244,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181244&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/04/2026 07:45:38 AM,08/04/2026 07:45:38 AM,11/02/2026 07:45:38 AM,181223,"Huntingdon/Station 2 South Capacity for August 5, 2026",,181223,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181223&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,07/31/2026 03:47:24 PM,07/31/2026 03:57:24 PM,10/28/2026 12:00:00 AM,181118,Pipeline Operational Status for 07/31/2026,,181118,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181118&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Pipeline Conditions,07/31/2026 07:59:13 AM,07/31/2026 08:09:13 AM,10/28/2026 12:00:00 AM,181072,Pipeline Operational Status for 07/30/2026,,181072,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181072&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,07/31/2026 07:51:00 AM,07/31/2026 07:51:00 AM,10/29/2026 07:51:00 AM,181071,"Huntingdon/Station 2 South Capacity for August 1 - 4, 2026",,181071,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181071&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,07/30/2026 02:41:11 PM,07/30/2026 02:51:11 PM,10/27/2026 12:00:00 AM,181052,Pipeline Operational Status for 07/30/2026,,181052,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181052&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,07/30/2026 07:43:18 AM,07/30/2026 07:43:18 AM,10/28/2026 07:43:18 AM,181024,"Huntingdon/Station 2 South Capacity for July 31, 2026",,181024,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181024&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/29/2026 08:00:00 AM,07/29/2026 08:00:00 AM,10/27/2026 08:00:00 AM,180980,"RE-ESTABLISHMENT Station #1 Westbound (Fort St John Mainline to Station 2) Capacity for July 29, 2026 ID1",,180980,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180980&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/29/2026 07:44:44 AM,07/29/2026 07:44:44 AM,10/27/2026 07:44:44 AM,180979,"Huntingdon/Station 2 South Capacity for July 30, 2026",,180979,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180979&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/28/2026 07:45:00 AM,07/28/2026 07:45:00 AM,10/26/2026 07:45:00 AM,180944,"Huntingdon/Station 2 South Capacity for July 29, 2026",,180944,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180944&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/27/2026 07:44:13 AM,07/27/2026 07:44:13 AM,10/25/2026 07:44:13 AM,180909,"Huntingdon/Station 2 South Capacity for July 28, 2026",,180909,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180909&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/24/2026 02:57:00 PM,07/24/2026 02:57:00 PM,10/22/2026 02:27:00 PM,180829,Operationally Available Capacity for August 2026,,180829,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180829&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,07/24/2026 02:11:00 PM,07/24/2026 02:11:00 PM,10/22/2026 02:11:00 PM,180823,"Station #1 Westbound (Fort St John Mainline to Station 2) Capacity for July 26 - 31, 2026 REVISED",,180823,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180823&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/24/2026 07:48:00 AM,07/24/2026 07:48:00 AM,10/22/2026 07:48:00 AM,180801,"Station #1 Westbound (Fort St John Mainline to Station 2) Capacity for July 27 - 31, 2026",,180801,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180801&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/24/2026 07:43:09 AM,07/24/2026 07:43:09 AM,10/22/2026 07:43:09 AM,180799,"Huntingdon/Station 2 South Capacity for July 25 - 27, 2026",,180799,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180799&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,07/24/2026 07:40:41 AM,07/24/2026 07:50:41 AM,10/21/2026 12:00:00 AM,180800,Pipeline Operational Status for 07/23/2026,,180800,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180800&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,07/23/2026 07:43:20 AM,07/23/2026 07:43:20 AM,10/21/2026 07:43:20 AM,180762,"Huntingdon/Station 2 South Capacity for July 24, 2026",,180762,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180762&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/22/2026 07:51:40 AM,07/22/2026 07:51:40 AM,10/20/2026 07:51:40 AM,180726,"Huntingdon/Station 2 South Capacity for July 23, 2026",,180726,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180726&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/21/2026 07:43:42 AM,07/21/2026 07:43:42 AM,10/19/2026 07:43:42 AM,180690,"Huntingdon/Station 2 South Capacity for July 22, 2026",,180690,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180690&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/20/2026 07:43:00 AM,07/20/2026 07:43:00 AM,10/18/2026 07:43:00 AM,180649,"Huntingdon/Station 2 South Capacity for July 21, 2026",,180649,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180649&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/17/2026 07:53:38 AM,07/17/2026 07:53:38 AM,10/15/2026 07:53:38 AM,180545,"Station #1 Westbound Capacity for July 20 - 24, 2026",,180545,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180545&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,07/17/2026 07:44:26 AM,07/17/2026 07:44:26 AM,10/15/2026 07:44:26 AM,180544,"Huntingdon/Station 2 South Capacity for July 18 - 20, 2026",,180544,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180544&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,07/16/2026 03:48:20 PM,07/16/2026 03:58:20 PM,10/13/2026 12:00:00 AM,180543,Pipeline Operational Status for 07/16/2026,,180543,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180543&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Pipeline Conditions,07/16/2026 07:54:13 AM,07/16/2026 08:04:13 AM,10/13/2026 12:00:00 AM,180499,Pipeline Operational Status for 07/15/2026,,180499,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180499&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,07/16/2026 07:44:00 AM,07/16/2026 07:44:00 AM,10/14/2026 07:44:00 AM,180498,"Huntingdon/Station 2 South Capacity for July 17, 2026",,180498,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180498&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/15/2026 07:42:30 AM,07/15/2026 07:42:30 AM,10/13/2026 07:42:30 AM,180461,"Huntingdon/Station 2 South Capacity for July 16, 2026",,180461,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180461&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/14/2026 07:40:41 AM,07/14/2026 07:40:41 AM,10/12/2026 07:40:41 AM,180421,"Huntingdon/Station 2 South Capacity for July 15, 2026",,180421,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180421&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/13/2026 07:42:12 AM,07/13/2026 07:42:12 AM,10/11/2026 07:42:12 AM,180382,"Huntingdon/Station 2 South Capacity for July 14, 2026",,180382,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180382&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/10/2026 07:40:51 AM,07/10/2026 07:40:51 AM,10/08/2026 07:40:51 AM,180259,"Huntingdon/Station 2 South Capacity for July 11 - 13, 2026",,180259,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180259&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/09/2026 07:42:38 AM,07/09/2026 07:42:38 AM,10/07/2026 07:42:38 AM,180223,"Huntingdon/Station 2 South Capacity for July 10, 2026",,180223,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180223&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/08/2026 07:38:28 AM,07/08/2026 07:38:28 AM,10/06/2026 07:38:28 AM,180138,"Huntingdon/Station 2 South Capacity for July 9, 2026",,180138,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180138&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/07/2026 11:15:19 AM,07/07/2026 11:15:19 AM,10/05/2026 11:15:19 AM,180104,Operationally Available Capacity for July 2026 - T South REVISED,,180104,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180104&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,07/07/2026 07:41:50 AM,07/07/2026 07:41:50 AM,10/05/2026 07:41:50 AM,180092,"Huntingdon/Station 2 South Capacity for July 8, 2026",,180092,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180092&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/06/2026 07:42:00 AM,07/06/2026 07:42:00 AM,10/04/2026 07:42:00 AM,180053,"Huntingdon/Station 2 South Capacity for July 7, 2026",,180053,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=180053&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,07/02/2026 07:44:00 AM,07/02/2026 07:44:00 AM,09/30/2026 07:44:00 AM,179912,"Huntingdon/Station 2 South Capacity for July 3 - 6, 2026",,179912,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179912&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/30/2026 07:44:03 AM,06/30/2026 07:44:03 AM,09/28/2026 07:44:03 AM,179832,"Huntingdon/Station 2 South Capacity for July 1 - 2, 2026",,179832,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179832&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/29/2026 07:42:13 AM,06/29/2026 07:42:13 AM,09/27/2026 07:42:13 AM,179768,"Huntingdon/Station 2 South Capacity for June 30, 2026",,179768,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179768&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/26/2026 07:43:01 AM,06/26/2026 07:43:01 AM,09/24/2026 07:43:01 AM,179650,"Huntingdon/Station 2 South Capacity for June 27 - 29, 2026",,179650,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179650&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/25/2026 07:41:43 AM,06/25/2026 07:41:43 AM,09/23/2026 07:41:43 AM,179604,"Huntingdon/Station 2 South Capacity for June 26, 2026",,179604,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179604&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/24/2026 07:39:49 AM,06/24/2026 07:39:49 AM,09/22/2026 07:39:49 AM,179569,"Huntingdon/Station 2 South Capacity for June 25, 2026",,179569,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179569&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/23/2026 02:52:21 PM,06/23/2026 02:52:21 PM,09/21/2026 02:32:21 PM,179551,Operationally Available Capacity for July 2026,,179551,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179551&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,06/23/2026 07:48:00 AM,06/23/2026 07:48:00 AM,09/21/2026 07:48:00 AM,179530,"Huntingdon/Station 2 South Capacity for June 24, 2026",,179530,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179530&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/22/2026 07:41:06 AM,06/22/2026 07:41:06 AM,09/20/2026 07:41:06 AM,179492,"Huntingdon/Station 2 South Capacity for June 23, 2026",,179492,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179492&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,06/22/2026 07:11:51 AM,06/22/2026 07:21:51 AM,09/19/2026 12:00:00 AM,179491,Pipeline Operational Status for 06/21/2026,,179491,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179491&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Pipeline Conditions,06/21/2026 03:57:29 PM,06/21/2026 04:07:29 PM,09/18/2026 12:00:00 AM,179489,Pipeline Operational Status for 06/21/2026,,179489,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179489&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Pipeline Conditions,06/21/2026 07:18:41 AM,06/21/2026 07:28:41 AM,09/18/2026 12:00:00 AM,179457,Pipeline Operational Status for 06/20/2026,,179457,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179457&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Pipeline Conditions,06/20/2026 03:29:45 PM,06/20/2026 03:39:45 PM,09/17/2026 12:00:00 AM,179456,Pipeline Operational Status for 06/20/2026,,179456,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179456&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,06/18/2026 07:45:34 AM,06/18/2026 07:45:34 AM,09/16/2026 07:45:34 AM,179339,"Huntingdon/Station 2 South Capacity for June 19 - 22 , 2026",,179339,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179339&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
